image_id,model,question_id,question,prompt,annot_id,answer
geckonum_00969_2,imagen_a,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,5,1
geckonum_00969_2,imagen_a,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,11,1
geckonum_00969_2,imagen_a,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,14,1
geckonum_00969_2,imagen_a,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,6,1
geckonum_00969_2,imagen_a,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,7,1
geckonum_00969_2,imagen_a,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,5,0
geckonum_00969_2,imagen_a,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,11,0
geckonum_00969_2,imagen_a,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,14,0
geckonum_00969_2,imagen_a,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,6,0
geckonum_00969_2,imagen_a,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,7,0
geckonum_00969_3,imagen_a,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,5,1
geckonum_00969_3,imagen_a,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,12,1
geckonum_00969_3,imagen_a,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,14,1
geckonum_00969_3,imagen_a,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,6,1
geckonum_00969_3,imagen_a,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,7,1
geckonum_00969_3,imagen_a,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,5,0
geckonum_00969_3,imagen_a,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,12,0
geckonum_00969_3,imagen_a,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,14,0
geckonum_00969_3,imagen_a,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,6,0
geckonum_00969_3,imagen_a,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,7,0
geckonum_00969_4,imagen_a,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,5,1
geckonum_00969_4,imagen_a,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,12,1
geckonum_00969_4,imagen_a,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,3,1
geckonum_00969_4,imagen_a,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,14,1
geckonum_00969_4,imagen_a,0,Is there a loaf of bread?,A loaf of bread cut into thirds.,7,1
geckonum_00969_4,imagen_a,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,5,0
geckonum_00969_4,imagen_a,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,12,0
geckonum_00969_4,imagen_a,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,3,0
geckonum_00969_4,imagen_a,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,14,0
geckonum_00969_4,imagen_a,1,Is the loaf of bread cut into thirds?,A loaf of bread cut into thirds.,7,0
geckonum_00970_0,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,0,1
geckonum_00970_0,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,10,1
geckonum_00970_0,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,15,1
geckonum_00970_0,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,1,1
geckonum_00970_0,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,8,1
geckonum_00970_0,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,0,1
geckonum_00970_0,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,10,1
geckonum_00970_0,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,15,1
geckonum_00970_0,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,1,1
geckonum_00970_0,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,8,1
geckonum_00970_0,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,0,0
geckonum_00970_0,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,10,0
geckonum_00970_0,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,15,0
geckonum_00970_0,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,1,0
geckonum_00970_0,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,8,0
geckonum_00970_1,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,12,1
geckonum_00970_1,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,6,1
geckonum_00970_1,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,7,1
geckonum_00970_1,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,3,1
geckonum_00970_1,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,14,1
geckonum_00970_1,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,12,1
geckonum_00970_1,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,6,1
geckonum_00970_1,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,7,1
geckonum_00970_1,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,3,1
geckonum_00970_1,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,14,1
geckonum_00970_1,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,12,0
geckonum_00970_1,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,6,0
geckonum_00970_1,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,7,0
geckonum_00970_1,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,3,0
geckonum_00970_1,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,14,0
geckonum_00970_2,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,12,1
geckonum_00970_2,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,6,1
geckonum_00970_2,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,7,1
geckonum_00970_2,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,5,1
geckonum_00970_2,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,11,1
geckonum_00970_2,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,12,1
geckonum_00970_2,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,6,1
geckonum_00970_2,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,7,1
geckonum_00970_2,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,5,1
geckonum_00970_2,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,11,1
geckonum_00970_2,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,12,0
geckonum_00970_2,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,6,0
geckonum_00970_2,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,7,0
geckonum_00970_2,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,5,1
geckonum_00970_2,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,11,1
geckonum_00970_3,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,12,1
geckonum_00970_3,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,3,1
geckonum_00970_3,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,14,1
geckonum_00970_3,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,5,1
geckonum_00970_3,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,11,1
geckonum_00970_3,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,12,1
geckonum_00970_3,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,3,1
geckonum_00970_3,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,14,1
geckonum_00970_3,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,5,1
geckonum_00970_3,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,11,1
geckonum_00970_3,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,12,0
geckonum_00970_3,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,3,0
geckonum_00970_3,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,14,0
geckonum_00970_3,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,5,0
geckonum_00970_3,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,11,0
geckonum_00970_4,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,12,1
geckonum_00970_4,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,6,1
geckonum_00970_4,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,7,1
geckonum_00970_4,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,14,1
geckonum_00970_4,imagen_a,0,Is there bread?,A loaf of bread cut into quarters.,11,1
geckonum_00970_4,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,12,1
geckonum_00970_4,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,6,1
geckonum_00970_4,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,7,1
geckonum_00970_4,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,14,1
geckonum_00970_4,imagen_a,1,Is the bread in loaf form?,A loaf of bread cut into quarters.,11,1
geckonum_00970_4,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,12,0
geckonum_00970_4,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,6,0
geckonum_00970_4,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,7,0
geckonum_00970_4,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,14,0
geckonum_00970_4,imagen_a,2,Is the bread cut into quarters?,A loaf of bread cut into quarters.,11,0
geckonum_00971_0,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,0,1
geckonum_00971_0,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,10,1
geckonum_00971_0,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,15,1
geckonum_00971_0,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,1,1
geckonum_00971_0,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,8,1
geckonum_00971_0,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,0,1
geckonum_00971_0,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,10,1
geckonum_00971_0,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,15,1
geckonum_00971_0,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,1,1
geckonum_00971_0,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,8,1
geckonum_00971_0,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,0,0
geckonum_00971_0,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,10,0
geckonum_00971_0,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,15,0
geckonum_00971_0,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,1,0
geckonum_00971_0,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,8,0
geckonum_00971_1,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,5,1
geckonum_00971_1,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,12,1
geckonum_00971_1,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,6,1
geckonum_00971_1,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,7,1
geckonum_00971_1,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,3,1
geckonum_00971_1,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,5,1
geckonum_00971_1,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,12,1
geckonum_00971_1,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,6,1
geckonum_00971_1,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,7,1
geckonum_00971_1,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,3,1
geckonum_00971_1,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,5,0
geckonum_00971_1,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,12,0
geckonum_00971_1,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,6,0
geckonum_00971_1,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,7,0
geckonum_00971_1,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,3,0
geckonum_00971_2,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,5,1
geckonum_00971_2,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,12,1
geckonum_00971_2,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,6,1
geckonum_00971_2,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,11,1
geckonum_00971_2,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,14,1
geckonum_00971_2,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,5,1
geckonum_00971_2,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,12,1
geckonum_00971_2,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,6,1
geckonum_00971_2,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,11,1
geckonum_00971_2,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,14,1
geckonum_00971_2,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,5,0
geckonum_00971_2,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,12,0
geckonum_00971_2,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,6,0
geckonum_00971_2,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,11,0
geckonum_00971_2,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,14,0
geckonum_00971_3,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,5,1
geckonum_00971_3,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,12,1
geckonum_00971_3,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,7,1
geckonum_00971_3,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,3,1
geckonum_00971_3,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,11,1
geckonum_00971_3,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,5,1
geckonum_00971_3,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,12,1
geckonum_00971_3,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,7,1
geckonum_00971_3,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,3,1
geckonum_00971_3,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,11,1
geckonum_00971_3,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,5,0
geckonum_00971_3,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,12,0
geckonum_00971_3,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,7,0
geckonum_00971_3,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,3,0
geckonum_00971_3,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,11,0
geckonum_00971_4,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,12,1
geckonum_00971_4,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,7,1
geckonum_00971_4,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,3,1
geckonum_00971_4,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,11,1
geckonum_00971_4,imagen_a,0,Is there bread?,A loaf of bread cut into five parts.,14,1
geckonum_00971_4,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,12,1
geckonum_00971_4,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,7,1
geckonum_00971_4,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,3,1
geckonum_00971_4,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,11,1
geckonum_00971_4,imagen_a,1,Is the bread a loaf?,A loaf of bread cut into five parts.,14,1
geckonum_00971_4,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,12,0
geckonum_00971_4,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,7,0
geckonum_00971_4,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,3,0
geckonum_00971_4,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,11,0
geckonum_00971_4,imagen_a,2,Is the bread cut into five parts?,A loaf of bread cut into five parts.,14,0
geckonum_00972_0,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,0,1
geckonum_00972_0,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,10,0
geckonum_00972_0,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,15,1
geckonum_00972_0,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,1,1
geckonum_00972_0,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,8,0
geckonum_00972_0,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,0,0
geckonum_00972_0,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,10,0
geckonum_00972_0,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,15,0
geckonum_00972_0,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,1,0
geckonum_00972_0,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,8,0
geckonum_00972_1,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,5,0
geckonum_00972_1,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,12,0
geckonum_00972_1,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,6,0
geckonum_00972_1,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,7,0
geckonum_00972_1,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,14,0
geckonum_00972_1,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,5,0
geckonum_00972_1,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,12,0
geckonum_00972_1,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,6,0
geckonum_00972_1,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,7,0
geckonum_00972_1,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,14,0
geckonum_00972_2,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,12,0
geckonum_00972_2,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,6,0
geckonum_00972_2,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,14,1
geckonum_00972_2,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,11,0
geckonum_00972_2,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,3,0
geckonum_00972_2,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,12,1
geckonum_00972_2,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,6,0
geckonum_00972_2,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,14,0
geckonum_00972_2,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,11,0
geckonum_00972_2,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,3,0
geckonum_00972_3,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,5,0
geckonum_00972_3,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,12,0
geckonum_00972_3,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,7,0
geckonum_00972_3,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,14,0
geckonum_00972_3,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,11,0
geckonum_00972_3,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,5,0
geckonum_00972_3,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,12,0
geckonum_00972_3,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,7,0
geckonum_00972_3,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,14,0
geckonum_00972_3,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,11,0
geckonum_00972_4,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,12,0
geckonum_00972_4,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,6,0
geckonum_00972_4,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,7,0
geckonum_00972_4,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,11,1
geckonum_00972_4,imagen_a,0,Is there one loaf of bread?,There is one loaf of bread and half of another loaf on the table.,3,0
geckonum_00972_4,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,12,1
geckonum_00972_4,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,6,0
geckonum_00972_4,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,7,0
geckonum_00972_4,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,11,1
geckonum_00972_4,imagen_a,1,Are there half of another loaf of bread?,There is one loaf of bread and half of another loaf on the table.,3,0
geckonum_00973_0,imagen_a,0,Are there loaves of bread?,There are two loaves of bread and half of another loaf on the table.,0,1
geckonum_00973_0,imagen_a,0,Are there loaves of bread?,There are two loaves of bread and half of another loaf on the table.,10,1
geckonum_00973_0,imagen_a,0,Are there loaves of bread?,There are two loaves of bread and half of another loaf on the table.,1,1
geckonum_00973_0,imagen_a,0,Are there loaves of bread?,There are two loaves of bread and half of another loaf on the table.,9,1
geckonum_00973_0,imagen_a,0,Are there loaves of bread?,There are two loaves of bread and half of another loaf on the table.,13,1
geckonum_00973_0,imagen_a,1,Are there two loaves of bread?,There are two loaves of bread and half of another loaf on the table.,0,0
geckonum_00973_0,imagen_a,1,Are there two loaves of bread?,There are two loaves of bread and half of another loaf on the table.,10,0
geckonum_00973_0,imagen_a,1,Are there two loaves of bread?,There are two loaves of bread and half of another loaf on the table.,1,0
geckonum_00973_0,imagen_a,1,Are there two loaves of bread?,There are two loaves of bread and half of another loaf on the table.,9,0
geckonum_00973_0,imagen_a,1,Are there two loaves of bread?,There are two loaves of bread and half of another loaf on the table.,13,0
geckonum_00973_0,imagen_a,2,Is there half a loaf of bread?,There are two loaves of bread and half of another loaf on the table.,0,0
geckonum_00973_0,imagen_a,2,Is there half a loaf of bread?,There are two loaves of bread and half of another loaf on the table.,10,0
geckonum_00973_0,imagen_a,2,Is there half a loaf of bread?,There are two loaves of bread and half of another loaf on the table.,1,0
geckonum_00973_0,imagen_a,2,Is there half a loaf of bread?,There are two loaves of bread and half of another loaf on the table.,9,0
geckonum_00973_0,imagen_a,2,Is there half a loaf of bread?,There are two loaves of bread and half of another loaf on the table.,13,0
geckonum_00973_1,imagen_a,0,Are there loaves of bread?,There are two loaves of bread and half of another loaf on the table.,5,1
geckonum_00973_1,imagen_a,0,Are there loaves of bread?,There are two loaves of bread and half of another loaf on the table.,12,1
geckonum_00973_1,imagen_a,0,Are there loaves of bread?,There are two loaves of bread and half of another loaf on the table.,6,1
geckonum_00973_1,imagen_a,0,Are there loaves of bread?,There are two loaves of bread and half of another loaf on the table.,3,1
geckonum_00973_1,imagen_a,0,Are there loaves of bread?,There are two loaves of bread and half of another loaf on the table.,14,1
geckonum_00973_1,imagen_a,1,Are there two loaves of bread?,There are two loaves of bread and half of another loaf on the table.,5,0
geckonum_00973_1,imagen_a,1,Are there two loaves of bread?,There are two loaves of bread and half of another loaf on the table.,12,0
geckonum_00973_1,imagen_a,1,Are there two loaves of bread?,There are two loaves of bread and half of another loaf on the table.,6,0
geckonum_00973_1,imagen_a,1,Are there two loaves of bread?,There are two loaves of bread and half of another loaf on the table.,3,0
geckonum_00973_1,imagen_a,1,Are there two loaves of bread?,There are two loaves of bread and half of another loaf on the table.,14,0
geckonum_00973_1,imagen_a,2,Is there half a loaf of bread?,There are two loaves of bread and half of another loaf on the table.,5,0
