index,prompt,has_numeral,is_frequent,entities,prompt_type,dataset_id
37,Two kangaroos.,1,0,kangaroo:2,numeric_simple,geckonum_00037
38,Two koalas.,1,0,koala:2,numeric_simple,geckonum_00038
39,Two manatees.,1,0,manatee:2,numeric_simple,geckonum_00039
40,3 dogs.,0,1,dog:3,numeric_simple,geckonum_00040
41,3 fish.,0,1,fish:3,numeric_simple,geckonum_00041
42,3 cats.,0,1,cat:3,numeric_simple,geckonum_00042
43,3 ants.,0,1,ant:3,numeric_simple,geckonum_00043
44,3 flies.,0,1,fly:3,numeric_simple,geckonum_00044
45,3 axolotls.,0,0,axolotl:3,numeric_simple,geckonum_00045
46,3 seahorses.,0,0,seahorse:3,numeric_simple,geckonum_00046
47,3 kangaroos.,0,0,kangaroo:3,numeric_simple,geckonum_00047
48,3 koalas.,0,0,koala:3,numeric_simple,geckonum_00048
49,3 manatees.,0,0,manatee:3,numeric_simple,geckonum_00049
50,Three dogs.,1,1,dog:3,numeric_simple,geckonum_00050
51,Three fish.,1,1,fish:3,numeric_simple,geckonum_00051
52,Three cats.,1,1,cat:3,numeric_simple,geckonum_00052
53,Three ants.,1,1,ant:3,numeric_simple,geckonum_00053
54,Three flies.,1,1,fly:3,numeric_simple,geckonum_00054
55,Three axolotls.,1,0,axolotl:3,numeric_simple,geckonum_00055
56,Three seahorses.,1,0,seahorse:3,numeric_simple,geckonum_00056
57,Three kangaroos.,1,0,kangaroo:3,numeric_simple,geckonum_00057
58,Three koalas.,1,0,koala:3,numeric_simple,geckonum_00058
59,Three manatees.,1,0,manatee:3,numeric_simple,geckonum_00059
60,4 dogs.,0,1,dog:4,numeric_simple,geckonum_00060
61,4 fish.,0,1,fish:4,numeric_simple,geckonum_00061
62,4 cats.,0,1,cat:4,numeric_simple,geckonum_00062
63,4 ants.,0,1,ant:4,numeric_simple,geckonum_00063
64,4 flies.,0,1,fly:4,numeric_simple,geckonum_00064
65,4 axolotls.,0,0,axolotl:4,numeric_simple,geckonum_00065
66,4 seahorses.,0,0,seahorse:4,numeric_simple,geckonum_00066
67,4 kangaroos.,0,0,kangaroo:4,numeric_simple,geckonum_00067
68,4 koalas.,0,0,koala:4,numeric_simple,geckonum_00068
69,4 manatees.,0,0,manatee:4,numeric_simple,geckonum_00069
70,Four dogs.,1,1,dog:4,numeric_simple,geckonum_00070
71,Four fish.,1,1,fish:4,numeric_simple,geckonum_00071
72,Four cats.,1,1,cat:4,numeric_simple,geckonum_00072
73,Four ants.,1,1,ant:4,numeric_simple,geckonum_00073
74,Four flies.,1,1,fly:4,numeric_simple,geckonum_00074
75,Four axolotls.,1,0,axolotl:4,numeric_simple,geckonum_00075
76,Four seahorses.,1,0,seahorse:4,numeric_simple,geckonum_00076
77,Four kangaroos.,1,0,kangaroo:4,numeric_simple,geckonum_00077
78,Four koalas.,1,0,koala:4,numeric_simple,geckonum_00078
79,Four manatees.,1,0,manatee:4,numeric_simple,geckonum_00079
80,5 dogs.,0,1,dog:5,numeric_simple,geckonum_00080
81,5 fish.,0,1,fish:5,numeric_simple,geckonum_00081
82,5 cats.,0,1,cat:5,numeric_simple,geckonum_00082
83,5 ants.,0,1,ant:5,numeric_simple,geckonum_00083
84,5 flies.,0,1,fly:5,numeric_simple,geckonum_00084
85,5 axolotls.,0,0,axolotl:5,numeric_simple,geckonum_00085
86,5 seahorses.,0,0,seahorse:5,numeric_simple,geckonum_00086
87,5 kangaroos.,0,0,kangaroo:5,numeric_simple,geckonum_00087
88,5 koalas.,0,0,koala:5,numeric_simple,geckonum_00088
89,5 manatees.,0,0,manatee:5,numeric_simple,geckonum_00089
90,Five dogs.,1,1,dog:5,numeric_simple,geckonum_00090
91,Five fish.,1,1,fish:5,numeric_simple,geckonum_00091
92,Five cats.,1,1,cat:5,numeric_simple,geckonum_00092
93,Five ants.,1,1,ant:5,numeric_simple,geckonum_00093
94,Five flies.,1,1,fly:5,numeric_simple,geckonum_00094
95,Five axolotls.,1,0,axolotl:5,numeric_simple,geckonum_00095
96,Five seahorses.,1,0,seahorse:5,numeric_simple,geckonum_00096
97,Five kangaroos.,1,0,kangaroo:5,numeric_simple,geckonum_00097
98,Five koalas.,1,0,koala:5,numeric_simple,geckonum_00098
99,Five manatees.,1,0,manatee:5,numeric_simple,geckonum_00099
100,6 dogs.,0,1,dog:6,numeric_simple,geckonum_00100
101,6 fish.,0,1,fish:6,numeric_simple,geckonum_00101
102,6 cats.,0,1,cat:6,numeric_simple,geckonum_00102
103,6 ants.,0,1,ant:6,numeric_simple,geckonum_00103
104,6 flies.,0,1,fly:6,numeric_simple,geckonum_00104
105,6 axolotls.,0,0,axolotl:6,numeric_simple,geckonum_00105
106,6 seahorses.,0,0,seahorse:6,numeric_simple,geckonum_00106
107,6 kangaroos.,0,0,kangaroo:6,numeric_simple,geckonum_00107
108,6 koalas.,0,0,koala:6,numeric_simple,geckonum_00108
109,6 manatees.,0,0,manatee:6,numeric_simple,geckonum_00109
110,7 dogs.,0,1,dog:7,numeric_simple,geckonum_00110
111,7 fish.,0,1,fish:7,numeric_simple,geckonum_00111
112,7 cats.,0,1,cat:7,numeric_simple,geckonum_00112
113,7 ants.,0,1,ant:7,numeric_simple,geckonum_00113
114,7 flies.,0,1,fly:7,numeric_simple,geckonum_00114
115,7 axolotls.,0,0,axolotl:7,numeric_simple,geckonum_00115
116,7 seahorses.,0,0,seahorse:7,numeric_simple,geckonum_00116
117,7 kangaroos.,0,0,kangaroo:7,numeric_simple,geckonum_00117
118,7 koalas.,0,0,koala:7,numeric_simple,geckonum_00118
119,7 manatees.,0,0,manatee:7,numeric_simple,geckonum_00119
120,8 dogs.,0,1,dog:8,numeric_simple,geckonum_00120
121,8 fish.,0,1,fish:8,numeric_simple,geckonum_00121
122,8 cats.,0,1,cat:8,numeric_simple,geckonum_00122
123,8 ants.,0,1,ant:8,numeric_simple,geckonum_00123
124,8 flies.,0,1,fly:8,numeric_simple,geckonum_00124
125,8 axolotls.,0,0,axolotl:8,numeric_simple,geckonum_00125
126,8 seahorses.,0,0,seahorse:8,numeric_simple,geckonum_00126
127,8 kangaroos.,0,0,kangaroo:8,numeric_simple,geckonum_00127
128,8 koalas.,0,0,koala:8,numeric_simple,geckonum_00128
129,8 manatees.,0,0,manatee:8,numeric_simple,geckonum_00129
130,9 dogs.,0,1,dog:9,numeric_simple,geckonum_00130
131,9 fish.,0,1,fish:9,numeric_simple,geckonum_00131
132,9 cats.,0,1,cat:9,numeric_simple,geckonum_00132
133,9 ants.,0,1,ant:9,numeric_simple,geckonum_00133
134,9 flies.,0,1,fly:9,numeric_simple,geckonum_00134
135,9 axolotls.,0,0,axolotl:9,numeric_simple,geckonum_00135
136,9 seahorses.,0,0,seahorse:9,numeric_simple,geckonum_00136
137,9 kangaroos.,0,0,kangaroo:9,numeric_simple,geckonum_00137
138,9 koalas.,0,0,koala:9,numeric_simple,geckonum_00138
139,9 manatees.,0,0,manatee:9,numeric_simple,geckonum_00139
140,10 dogs.,0,1,dog:10,numeric_simple,geckonum_00140
141,10 fish.,0,1,fish:10,numeric_simple,geckonum_00141
142,10 cats.,0,1,cat:10,numeric_simple,geckonum_00142
143,10 ants.,0,1,ant:10,numeric_simple,geckonum_00143
144,10 flies.,0,1,fly:10,numeric_simple,geckonum_00144
145,10 axolotls.,0,0,axolotl:10,numeric_simple,geckonum_00145
146,10 seahorses.,0,0,seahorse:10,numeric_simple,geckonum_00146
147,10 kangaroos.,0,0,kangaroo:10,numeric_simple,geckonum_00147
148,10 koalas.,0,0,koala:10,numeric_simple,geckonum_00148
149,10 manatees.,0,0,manatee:10,numeric_simple,geckonum_00149
150,1 apple.,0,1,apple:1,numeric_simple,geckonum_00150
151,1 egg.,0,1,egg:1,numeric_simple,geckonum_00151
152,1 burger.,0,1,burger:1,numeric_simple,geckonum_00152
153,1 cookie.,0,1,cookie:1,numeric_simple,geckonum_00153
154,1 pizza.,0,1,pizza:1,numeric_simple,geckonum_00154
155,1 lychee.,0,0,lychee:1,numeric_simple,geckonum_00155
156,1 parsnip.,0,0,parsnip:1,numeric_simple,geckonum_00156
157,1 samosa.,0,0,samosa:1,numeric_simple,geckonum_00157
158,1 chocolate.,0,1,chocolate:1,numeric_simple,geckonum_00158
159,1 cinnamon stick.,0,0,cinnamon stick:1,numeric_simple,geckonum_00159
160,One apple.,1,1,apple:1,numeric_simple,geckonum_00160
161,One egg.,1,1,egg:1,numeric_simple,geckonum_00161
162,One burger.,1,1,burger:1,numeric_simple,geckonum_00162
163,One cookie.,1,1,cookie:1,numeric_simple,geckonum_00163
164,One pizza.,1,1,pizza:1,numeric_simple,geckonum_00164
165,One lychee.,1,0,lychee:1,numeric_simple,geckonum_00165
166,One parsnip.,1,0,parsnip:1,numeric_simple,geckonum_00166
167,One samosa.,1,0,samosa:1,numeric_simple,geckonum_00167
168,One chocolate.,1,1,chocolate:1,numeric_simple,geckonum_00168
169,One cinnamon stick.,1,0,cinnamon stick:1,numeric_simple,geckonum_00169
170,2 apples.,0,1,apple:2,numeric_simple,geckonum_00170
171,2 eggs.,0,1,egg:2,numeric_simple,geckonum_00171
172,2 burgers.,0,1,burger:2,numeric_simple,geckonum_00172
173,2 cookies.,0,1,cookie:2,numeric_simple,geckonum_00173
174,2 pizzas.,0,1,pizza:2,numeric_simple,geckonum_00174
175,2 lychees.,0,0,lychee:2,numeric_simple,geckonum_00175
176,2 parsnips.,0,0,parsnip:2,numeric_simple,geckonum_00176
177,2 samosas.,0,0,samosa:2,numeric_simple,geckonum_00177
178,2 chocolates.,0,1,chocolate:2,numeric_simple,geckonum_00178
179,2 cinnamon sticks.,0,0,cinnamon stick:2,numeric_simple,geckonum_00179
180,Two apples.,1,1,apple:2,numeric_simple,geckonum_00180
181,Two eggs.,1,1,egg:2,numeric_simple,geckonum_00181
182,Two burgers.,1,1,burger:2,numeric_simple,geckonum_00182
183,Two cookies.,1,1,cookie:2,numeric_simple,geckonum_00183
184,Two pizzas.,1,1,pizza:2,numeric_simple,geckonum_00184
185,Two lychees.,1,0,lychee:2,numeric_simple,geckonum_00185
186,Two parsnips.,1,0,parsnip:2,numeric_simple,geckonum_00186
187,Two samosas.,1,0,samosa:2,numeric_simple,geckonum_00187
188,Two chocolates.,1,1,chocolate:2,numeric_simple,geckonum_00188
189,Two cinnamon sticks.,1,0,cinnamon stick:2,numeric_simple,geckonum_00189
190,3 apples.,0,1,apple:3,numeric_simple,geckonum_00190
191,3 eggs.,0,1,egg:3,numeric_simple,geckonum_00191
192,3 burgers.,0,1,burger:3,numeric_simple,geckonum_00192
193,3 cookies.,0,1,cookie:3,numeric_simple,geckonum_00193
194,3 pizzas.,0,1,pizza:3,numeric_simple,geckonum_00194
195,3 lychees.,0,0,lychee:3,numeric_simple,geckonum_00195
196,3 parsnips.,0,0,parsnip:3,numeric_simple,geckonum_00196
197,3 samosas.,0,0,samosa:3,numeric_simple,geckonum_00197
198,3 chocolates.,0,1,chocolate:3,numeric_simple,geckonum_00198
199,3 cinnamon sticks.,0,0,cinnamon stick:3,numeric_simple,geckonum_00199
200,Three apples.,1,1,apple:3,numeric_simple,geckonum_00200
201,Three eggs.,1,1,egg:3,numeric_simple,geckonum_00201
202,Three burgers.,1,1,burger:3,numeric_simple,geckonum_00202
203,Three cookies.,1,1,cookie:3,numeric_simple,geckonum_00203
204,Three pizzas.,1,1,pizza:3,numeric_simple,geckonum_00204
205,Three lychees.,1,0,lychee:3,numeric_simple,geckonum_00205
206,Three parsnips.,1,0,parsnip:3,numeric_simple,geckonum_00206
207,Three samosas.,1,0,samosa:3,numeric_simple,geckonum_00207
208,Three chocolates.,1,1,chocolate:3,numeric_simple,geckonum_00208
209,Three cinnamon sticks.,1,0,cinnamon stick:3,numeric_simple,geckonum_00209
210,4 apples.,0,1,apple:4,numeric_simple,geckonum_00210
211,4 eggs.,0,1,egg:4,numeric_simple,geckonum_00211
212,4 burgers.,0,1,burger:4,numeric_simple,geckonum_00212
213,4 cookies.,0,1,cookie:4,numeric_simple,geckonum_00213
214,4 pizzas.,0,1,pizza:4,numeric_simple,geckonum_00214
215,4 lychees.,0,0,lychee:4,numeric_simple,geckonum_00215
216,4 parsnips.,0,0,parsnip:4,numeric_simple,geckonum_00216
217,4 samosas.,0,0,samosa:4,numeric_simple,geckonum_00217
218,4 chocolates.,0,1,chocolate:4,numeric_simple,geckonum_00218
219,4 cinnamon sticks.,0,0,cinnamon stick:4,numeric_simple,geckonum_00219
220,Four apples.,1,1,apple:4,numeric_simple,geckonum_00220
221,Four eggs.,1,1,egg:4,numeric_simple,geckonum_00221
222,Four burgers.,1,1,burger:4,numeric_simple,geckonum_00222
223,Four cookies.,1,1,cookie:4,numeric_simple,geckonum_00223
224,Four pizzas.,1,1,pizza:4,numeric_simple,geckonum_00224
225,Four lychees.,1,0,lychee:4,numeric_simple,geckonum_00225
226,Four parsnips.,1,0,parsnip:4,numeric_simple,geckonum_00226
227,Four samosas.,1,0,samosa:4,numeric_simple,geckonum_00227
228,Four chocolates.,1,1,chocolate:4,numeric_simple,geckonum_00228
229,Four cinnamon sticks.,1,0,cinnamon stick:4,numeric_simple,geckonum_00229
230,5 apples.,0,1,apple:5,numeric_simple,geckonum_00230
231,5 eggs.,0,1,egg:5,numeric_simple,geckonum_00231
232,5 burgers.,0,1,burger:5,numeric_simple,geckonum_00232
233,5 cookies.,0,1,cookie:5,numeric_simple,geckonum_00233
234,5 pizzas.,0,1,pizza:5,numeric_simple,geckonum_00234
235,5 lychees.,0,0,lychee:5,numeric_simple,geckonum_00235
236,5 parsnips.,0,0,parsnip:5,numeric_simple,geckonum_00236
237,5 samosas.,0,0,samosa:5,numeric_simple,geckonum_00237
238,5 chocolates.,0,1,chocolate:5,numeric_simple,geckonum_00238
239,5 cinnamon sticks.,0,0,cinnamon stick:5,numeric_simple,geckonum_00239
240,Five apples.,1,1,apple:5,numeric_simple,geckonum_00240
241,Five eggs.,1,1,egg:5,numeric_simple,geckonum_00241
242,Five burgers.,1,1,burger:5,numeric_simple,geckonum_00242
243,Five cookies.,1,1,cookie:5,numeric_simple,geckonum_00243
244,Five pizzas.,1,1,pizza:5,numeric_simple,geckonum_00244
245,Five lychees.,1,0,lychee:5,numeric_simple,geckonum_00245
246,Five parsnips.,1,0,parsnip:5,numeric_simple,geckonum_00246
247,Five samosas.,1,0,samosa:5,numeric_simple,geckonum_00247
248,Five chocolates.,1,1,chocolate:5,numeric_simple,geckonum_00248
249,Five cinnamon sticks.,1,0,cinnamon stick:5,numeric_simple,geckonum_00249
250,6 apples.,0,1,apple:6,numeric_simple,geckonum_00250
251,6 eggs.,0,1,egg:6,numeric_simple,geckonum_00251
252,6 burgers.,0,1,burger:6,numeric_simple,geckonum_00252
253,6 cookies.,0,1,cookie:6,numeric_simple,geckonum_00253
254,6 pizzas.,0,1,pizza:6,numeric_simple,geckonum_00254
255,6 lychees.,0,0,lychee:6,numeric_simple,geckonum_00255
256,6 parsnips.,0,0,parsnip:6,numeric_simple,geckonum_00256
257,6 samosas.,0,0,samosa:6,numeric_simple,geckonum_00257
258,6 chocolates.,0,1,chocolate:6,numeric_simple,geckonum_00258
259,6 cinnamon sticks.,0,0,cinnamon stick:6,numeric_simple,geckonum_00259
260,7 apples.,0,1,apple:7,numeric_simple,geckonum_00260
261,7 eggs.,0,1,egg:7,numeric_simple,geckonum_00261
262,7 burgers.,0,1,burger:7,numeric_simple,geckonum_00262
263,7 cookies.,0,1,cookie:7,numeric_simple,geckonum_00263
264,7 pizzas.,0,1,pizza:7,numeric_simple,geckonum_00264
265,7 lychees.,0,0,lychee:7,numeric_simple,geckonum_00265
266,7 parsnips.,0,0,parsnip:7,numeric_simple,geckonum_00266
267,7 samosas.,0,0,samosa:7,numeric_simple,geckonum_00267
268,7 chocolates.,0,1,chocolate:7,numeric_simple,geckonum_00268
269,7 cinnamon sticks.,0,0,cinnamon stick:7,numeric_simple,geckonum_00269
270,8 apples.,0,1,apple:8,numeric_simple,geckonum_00270
271,8 eggs.,0,1,egg:8,numeric_simple,geckonum_00271
272,8 burgers.,0,1,burger:8,numeric_simple,geckonum_00272
273,8 cookies.,0,1,cookie:8,numeric_simple,geckonum_00273
274,8 pizzas.,0,1,pizza:8,numeric_simple,geckonum_00274
275,8 lychees.,0,0,lychee:8,numeric_simple,geckonum_00275
276,8 parsnips.,0,0,parsnip:8,numeric_simple,geckonum_00276
277,8 samosas.,0,0,samosa:8,numeric_simple,geckonum_00277
278,8 chocolates.,0,1,chocolate:8,numeric_simple,geckonum_00278
279,8 cinnamon sticks.,0,0,cinnamon stick:8,numeric_simple,geckonum_00279
280,9 apples.,0,1,apple:9,numeric_simple,geckonum_00280
281,9 eggs.,0,1,egg:9,numeric_simple,geckonum_00281
282,9 burgers.,0,1,burger:9,numeric_simple,geckonum_00282
283,9 cookies.,0,1,cookie:9,numeric_simple,geckonum_00283
284,9 pizzas.,0,1,pizza:9,numeric_simple,geckonum_00284
285,9 lychees.,0,0,lychee:9,numeric_simple,geckonum_00285
286,9 parsnips.,0,0,parsnip:9,numeric_simple,geckonum_00286
287,9 samosas.,0,0,samosa:9,numeric_simple,geckonum_00287
288,9 chocolates.,0,1,chocolate:9,numeric_simple,geckonum_00288
289,9 cinnamon sticks.,0,0,cinnamon stick:9,numeric_simple,geckonum_00289
290,10 apples.,0,1,apple:10,numeric_simple,geckonum_00290
291,10 eggs.,0,1,egg:10,numeric_simple,geckonum_00291
292,10 burgers.,0,1,burger:10,numeric_simple,geckonum_00292
293,10 cookies.,0,1,cookie:10,numeric_simple,geckonum_00293
294,10 pizzas.,0,1,pizza:10,numeric_simple,geckonum_00294
295,10 lychees.,0,0,lychee:10,numeric_simple,geckonum_00295
296,10 parsnips.,0,0,parsnip:10,numeric_simple,geckonum_00296
297,10 samosas.,0,0,samosa:10,numeric_simple,geckonum_00297
298,10 chocolates.,0,1,chocolate:10,numeric_simple,geckonum_00298
299,10 cinnamon sticks.,0,0,cinnamon stick:10,numeric_simple,geckonum_00299
300,1 tree.,0,1,tree:1,numeric_simple,geckonum_00300
301,1 leaf.,0,1,leaf:1,numeric_simple,geckonum_00301
302,1 flower.,0,1,flower:1,numeric_simple,geckonum_00302
303,1 coconut.,0,1,coconut:1,numeric_simple,geckonum_00303
304,1 olive.,0,1,olive:1,numeric_simple,geckonum_00304
305,1 mushroom.,0,0,mushroom:1,numeric_simple,geckonum_00305
306,1 durian.,0,0,durian:1,numeric_simple,geckonum_00306
307,1 bonsai.,0,0,bonsai:1,numeric_simple,geckonum_00307
308,1 pistachio.,0,0,pistachio:1,numeric_simple,geckonum_00308
309,1 okra.,0,0,okra:1,numeric_simple,geckonum_00309
310,One tree.,1,1,tree:1,numeric_simple,geckonum_00310
311,One leaf.,1,1,leaf:1,numeric_simple,geckonum_00311
312,One flower.,1,1,flower:1,numeric_simple,geckonum_00312
313,One coconut.,1,1,coconut:1,numeric_simple,geckonum_00313
314,One olive.,1,1,olive:1,numeric_simple,geckonum_00314
315,One mushroom.,1,0,mushroom:1,numeric_simple,geckonum_00315
316,One durian.,1,0,durian:1,numeric_simple,geckonum_00316
317,One bonsai.,1,0,bonsai:1,numeric_simple,geckonum_00317
318,One pistachio.,1,0,pistachio:1,numeric_simple,geckonum_00318
319,One okra.,1,0,okra:1,numeric_simple,geckonum_00319
320,2 trees.,0,1,tree:2,numeric_simple,geckonum_00320
321,2 leaves.,0,1,leaf:2,numeric_simple,geckonum_00321
322,2 flowers.,0,1,flower:2,numeric_simple,geckonum_00322
323,2 coconuts.,0,1,coconut:2,numeric_simple,geckonum_00323
324,2 olives.,0,1,olive:2,numeric_simple,geckonum_00324
325,2 mushrooms.,0,0,mushroom:2,numeric_simple,geckonum_00325
326,2 durians.,0,0,durian:2,numeric_simple,geckonum_00326
327,2 bonsais.,0,0,bonsai:2,numeric_simple,geckonum_00327
328,2 pistachios.,0,0,pistachio:2,numeric_simple,geckonum_00328
329,2 okras.,0,0,okra:2,numeric_simple,geckonum_00329
330,Two trees.,1,1,tree:2,numeric_simple,geckonum_00330
331,Two leaves.,1,1,leaf:2,numeric_simple,geckonum_00331
332,Two flowers.,1,1,flower:2,numeric_simple,geckonum_00332
333,Two coconuts.,1,1,coconut:2,numeric_simple,geckonum_00333
334,Two olives.,1,1,olive:2,numeric_simple,geckonum_00334
335,Two mushrooms.,1,0,mushroom:2,numeric_simple,geckonum_00335
336,Two durians.,1,0,durian:2,numeric_simple,geckonum_00336
337,Two bonsais.,1,0,bonsai:2,numeric_simple,geckonum_00337
338,Two pistachios.,1,0,pistachio:2,numeric_simple,geckonum_00338
339,Two okras.,1,0,okra:2,numeric_simple,geckonum_00339
340,3 trees.,0,1,tree:3,numeric_simple,geckonum_00340
341,3 leaves.,0,1,leaf:3,numeric_simple,geckonum_00341
342,3 flowers.,0,1,flower:3,numeric_simple,geckonum_00342
343,3 coconuts.,0,1,coconut:3,numeric_simple,geckonum_00343
344,3 olives.,0,1,olive:3,numeric_simple,geckonum_00344
345,3 mushrooms.,0,0,mushroom:3,numeric_simple,geckonum_00345
346,3 durians.,0,0,durian:3,numeric_simple,geckonum_00346
347,3 bonsais.,0,0,bonsai:3,numeric_simple,geckonum_00347
348,3 pistachios.,0,0,pistachio:3,numeric_simple,geckonum_00348
349,3 okras.,0,0,okra:3,numeric_simple,geckonum_00349
350,Three trees.,1,1,tree:3,numeric_simple,geckonum_00350
351,Three leaves.,1,1,leaf:3,numeric_simple,geckonum_00351
352,Three flowers.,1,1,flower:3,numeric_simple,geckonum_00352
353,Three coconuts.,1,1,coconut:3,numeric_simple,geckonum_00353
354,Three olives.,1,1,olive:3,numeric_simple,geckonum_00354
355,Three mushrooms.,1,0,mushroom:3,numeric_simple,geckonum_00355
356,Three durians.,1,0,durian:3,numeric_simple,geckonum_00356
357,Three bonsais.,1,0,bonsai:3,numeric_simple,geckonum_00357
358,Three pistachios.,1,0,pistachio:3,numeric_simple,geckonum_00358
359,Three okras.,1,0,okra:3,numeric_simple,geckonum_00359
360,4 trees.,0,1,tree:4,numeric_simple,geckonum_00360
361,4 leaves.,0,1,leaf:4,numeric_simple,geckonum_00361
362,4 flowers.,0,1,flower:4,numeric_simple,geckonum_00362
363,4 coconuts.,0,1,coconut:4,numeric_simple,geckonum_00363
364,4 olives.,0,1,olive:4,numeric_simple,geckonum_00364
365,4 mushrooms.,0,0,mushroom:4,numeric_simple,geckonum_00365
366,4 durians.,0,0,durian:4,numeric_simple,geckonum_00366
367,4 bonsais.,0,0,bonsai:4,numeric_simple,geckonum_00367
368,4 pistachios.,0,0,pistachio:4,numeric_simple,geckonum_00368
369,4 okras.,0,0,okra:4,numeric_simple,geckonum_00369
370,Four trees.,1,1,tree:4,numeric_simple,geckonum_00370
371,Four leaves.,1,1,leaf:4,numeric_simple,geckonum_00371
372,Four flowers.,1,1,flower:4,numeric_simple,geckonum_00372
373,Four coconuts.,1,1,coconut:4,numeric_simple,geckonum_00373
374,Four olives.,1,1,olive:4,numeric_simple,geckonum_00374
375,Four mushrooms.,1,0,mushroom:4,numeric_simple,geckonum_00375
376,Four durians.,1,0,durian:4,numeric_simple,geckonum_00376
377,Four bonsais.,1,0,bonsai:4,numeric_simple,geckonum_00377
378,Four pistachios.,1,0,pistachio:4,numeric_simple,geckonum_00378
379,Four okras.,1,0,okra:4,numeric_simple,geckonum_00379
380,5 trees.,0,1,tree:5,numeric_simple,geckonum_00380
381,5 leaves.,0,1,leaf:5,numeric_simple,geckonum_00381
382,5 flowers.,0,1,flower:5,numeric_simple,geckonum_00382
383,5 coconuts.,0,1,coconut:5,numeric_simple,geckonum_00383
384,5 olives.,0,1,olive:5,numeric_simple,geckonum_00384
385,5 mushrooms.,0,0,mushroom:5,numeric_simple,geckonum_00385
386,5 durians.,0,0,durian:5,numeric_simple,geckonum_00386
387,5 bonsais.,0,0,bonsai:5,numeric_simple,geckonum_00387
388,5 pistachios.,0,0,pistachio:5,numeric_simple,geckonum_00388
389,5 okras.,0,0,okra:5,numeric_simple,geckonum_00389
390,Five trees.,1,1,tree:5,numeric_simple,geckonum_00390
391,Five leaves.,1,1,leaf:5,numeric_simple,geckonum_00391
392,Five flowers.,1,1,flower:5,numeric_simple,geckonum_00392
393,Five coconuts.,1,1,coconut:5,numeric_simple,geckonum_00393
394,Five olives.,1,1,olive:5,numeric_simple,geckonum_00394
395,Five mushrooms.,1,0,mushroom:5,numeric_simple,geckonum_00395
396,Five durians.,1,0,durian:5,numeric_simple,geckonum_00396
397,Five bonsais.,1,0,bonsai:5,numeric_simple,geckonum_00397
398,Five pistachios.,1,0,pistachio:5,numeric_simple,geckonum_00398
399,Five okras.,1,0,okra:5,numeric_simple,geckonum_00399
400,6 trees.,0,1,tree:6,numeric_simple,geckonum_00400
401,6 leaves.,0,1,leaf:6,numeric_simple,geckonum_00401
402,6 flowers.,0,1,flower:6,numeric_simple,geckonum_00402
403,6 coconuts.,0,1,coconut:6,numeric_simple,geckonum_00403
404,6 olives.,0,1,olive:6,numeric_simple,geckonum_00404
405,6 mushrooms.,0,0,mushroom:6,numeric_simple,geckonum_00405
406,6 durians.,0,0,durian:6,numeric_simple,geckonum_00406
407,6 bonsais.,0,0,bonsai:6,numeric_simple,geckonum_00407
